PLAYER_ID,PLAYER_NAME,SEASON,PTS,FGA,FG3A,FTA,AST,REB,OREB,DREB,STL,BLK,TOV,PF,PFD,PLUS_MINUS,TS_PCT,USG_PCT,AST_PCT,REB_PCT,OFF_RATING,DEF_RATING,3PAr,FTr,CLUSTER,CLUSTER_NAME
1626166,Cameron Payne,2024-25,22.0,19.6,11.3,2.4,8.9,4.6,0.6,4.0,1.7,0.7,2.3,4.9,2.7,9.0,0.532,0.2,0.251,0.047,116.6,107.5,0.576530612244898,0.12244897959183672,0,Paint Players
1627747,Caris LeVert,2024-25,22.6,17.4,8.3,4.5,6.3,5.9,1.2,4.7,1.7,1.0,2.2,2.9,3.2,7.5,0.582,0.191,0.178,0.062,120.5,113.4,0.47701149425287365,0.25862068965517243,0,Paint Players
1641717,Cason Wallace,2024-25,14.3,12.3,5.2,0.9,4.4,5.8,1.8,4.0,3.0,0.9,1.5,3.7,1.1,9.3,0.562,0.124,0.117,0.057,117.2,107.1,0.4227642276422764,0.07317073170731707,1,Role Players and Defensive Specialists
1629646,Charles Bassey,2024-25,19.0,14.2,0.0,4.0,2.1,18.4,6.8,11.6,1.7,3.6,2.8,6.1,3.1,-15.6,0.597,0.164,0.072,0.185,101.6,117.5,0.0,0.28169014084507044,2,Spot Up Shooters
1631096,Chet Holmgren,2024-25,25.3,18.0,6.1,7.1,3.3,13.6,2.5,11.1,1.2,3.8,3.0,3.8,5.0,15.5,0.599,0.214,0.091,0.136,121.7,105.6,0.33888888888888885,0.39444444444444443,2,Spot Up Shooters
1628449,Chris Boucher,2024-25,28.1,20.7,10.8,4.9,1.8,12.5,3.9,8.6,1.3,1.4,1.6,3.8,3.9,0.3,0.615,0.208,0.057,0.125,113.3,113.5,0.5217391304347827,0.23671497584541065,0,Paint Players
1630537,Chris Duarte,2024-25,20.9,15.1,8.7,4.7,5.2,11.6,2.9,8.7,0.0,0.0,0.6,4.1,3.5,7.0,0.61,0.151,0.173,0.115,105.2,102.4,0.5761589403973509,0.3112582781456954,1,Role Players and Defensive Specialists
1641753,Chris Livingston,2024-25,13.0,11.7,3.5,7.0,2.2,15.2,4.3,10.9,2.2,0.0,2.6,3.5,4.3,-12.6,0.441,0.15,0.078,0.148,89.6,102.2,0.29914529914529914,0.5982905982905983,3,High Usage Stars
101108,Chris Paul,2024-25,15.0,12.1,7.7,1.9,12.6,6.1,0.7,5.5,2.1,0.5,2.7,3.1,1.8,0.1,0.58,0.137,0.342,0.062,114.2,115.0,0.6363636363636364,0.15702479338842976,0,Paint Players
1631128,Christian Braun,2024-25,21.6,14.6,4.0,3.8,3.6,7.3,1.7,5.5,1.5,0.7,1.4,3.0,2.5,8.5,0.665,0.155,0.096,0.077,122.7,114.5,0.273972602739726,0.2602739726027397,1,Role Players and Defensive Specialists
1631132,Christian Koloko,2024-25,12.5,9.2,0.6,1.9,2.2,12.8,4.9,7.9,1.1,2.2,1.7,6.1,2.9,-1.0,0.624,0.104,0.068,0.129,104.7,106.0,0.06521739130434782,0.20652173913043478,2,Spot Up Shooters
1629643,Chuma Okeke,2024-25,13.1,9.9,6.9,0.7,3.7,11.6,5.2,6.4,1.2,1.0,0.7,1.2,1.7,-6.9,0.641,0.093,0.101,0.118,115.8,122.1,0.696969696969697,0.0707070707070707,1,Role Players and Defensive Specialists
203991,Clint Capela,2024-25,19.0,15.1,0.0,3.8,2.4,18.2,6.8,11.5,1.3,2.1,1.8,4.1,3.5,-3.1,0.564,0.16,0.073,0.183,108.7,111.5,0.0,0.25165562913907286,3,High Usage Stars
1629632,Coby White,2024-25,28.1,20.9,10.9,5.7,6.1,5.1,0.5,4.6,1.3,0.3,3.3,2.9,5.0,-2.6,0.601,0.237,0.197,0.053,111.5,113.9,0.521531100478469,0.27272727272727276,0,Paint Players
1628998,Cody Martin,2024-25,14.5,13.2,6.1,2.5,4.3,9.1,2.2,6.9,2.3,1.3,2.1,3.9,2.5,-4.3,0.509,0.142,0.128,0.088,108.1,111.3,0.4621212121212121,0.1893939393939394,1,Role Players and Defensive Specialists
1642262,Cody Williams,2024-25,10.1,11.3,5.9,1.8,2.6,4.9,1.2,3.8,1.0,0.7,1.9,4.2,1.4,-14.8,0.419,0.122,0.078,0.049,103.0,118.5,0.5221238938053098,0.1592920353982301,1,Role Players and Defensive Specialists
1641732,Colby Jones,2024-25,14.7,12.1,4.6,3.3,4.1,8.2,2.0,6.2,2.4,1.2,2.2,3.5,3.1,-10.5,0.544,0.138,0.123,0.08,104.4,114.8,0.3801652892561983,0.2727272727272727,1,Role Players and Defensive Specialists
1630175,Cole Anthony,2024-25,25.0,21.6,8.7,4.5,7.6,8.1,1.8,6.3,1.8,1.3,4.1,6.0,4.2,-0.6,0.531,0.238,0.253,0.08,107.7,109.0,0.40277777777777773,0.20833333333333331,0,Paint Players
1631306,Cole Swider,2024-25,15.9,16.9,12.6,0.3,0.8,7.3,1.3,5.9,1.1,0.5,1.1,3.2,0.8,14.5,0.465,0.155,0.022,0.072,114.2,100.5,0.7455621301775148,0.01775147928994083,1,Role Players and Defensive Specialists
1630658,Colin Castleton,2024-25,13.4,10.7,1.7,4.2,3.1,13.3,5.8,7.5,0.9,1.1,2.5,5.6,3.4,-3.3,0.536,0.125,0.092,0.123,106.1,108.2,0.15887850467289721,0.39252336448598135,3,High Usage Stars
1631221,Collin Gillespie,2024-25,20.5,16.7,9.5,2.3,8.2,8.2,2.3,5.9,2.2,0.5,1.8,3.2,2.6,-3.1,0.578,0.17,0.235,0.086,115.6,118.4,0.5688622754491018,0.1377245508982036,0,Paint Players
1629012,Collin Sexton,2024-25,31.2,23.4,7.3,6.8,7.1,4.6,1.6,3.0,1.3,0.2,4.3,3.9,5.9,-7.7,0.593,0.264,0.246,0.047,110.4,117.9,0.31196581196581197,0.2905982905982906,5,Secondary Playmakers and Scorers
1630557,Corey Kispert,2024-25,20.5,16.5,9.6,2.6,3.0,5.3,1.0,4.2,0.8,0.4,1.9,2.9,1.7,-8.0,0.584,0.169,0.094,0.053,108.7,117.1,0.5818181818181818,0.1575757575757576,1,Role Players and Defensive Specialists
202709,Cory Joseph,2024-25,14.1,12.3,8.5,1.4,5.8,5.9,1.4,4.6,2.1,0.3,1.4,4.0,3.0,2.8,0.547,0.126,0.166,0.06,110.5,106.9,0.6910569105691057,0.1138211382113821,1,Role Players and Defensive Specialists
1641854,Craig Porter Jr.,2024-25,17.3,12.9,4.4,3.0,6.5,6.2,1.8,4.4,1.6,1.4,3.5,2.3,2.1,-4.2,0.61,0.155,0.191,0.063,108.3,113.5,0.34108527131782945,0.23255813953488372,0,Paint Players
1642385,Cui Cui,2024-25,11.5,26.9,11.5,7.7,0.0,7.7,0.0,7.7,0.0,0.0,0.0,0.0,3.8,7.7,0.19,0.296,0.0,0.095,80.8,76.0,0.42750929368029744,0.28624535315985133,1,Role Players and Defensive Specialists
1626156,D'Angelo Russell,2024-25,23.7,20.6,11.6,4.7,9.6,5.2,0.6,4.6,1.8,0.7,3.5,3.7,4.5,0.0,0.522,0.228,0.302,0.053,110.1,111.6,0.5631067961165048,0.22815533980582522,0,Paint Players
1630618,D.J. Carton,2024-25,3.8,9.0,3.8,1.3,3.8,5.1,0.0,5.1,2.6,0.0,5.1,1.3,1.3,15.4,0.202,0.122,0.1,0.055,109.0,96.1,0.4222222222222222,0.14444444444444446,1,Role Players and Defensive Specialists
1629610,DaQuan Jeffries,2024-25,14.5,13.4,7.5,1.4,2.4,6.2,1.7,4.5,1.2,1.1,1.6,4.5,1.3,-12.7,0.518,0.136,0.073,0.06,106.6,118.2,0.5597014925373134,0.1044776119402985,1,Role Players and Defensive Specialists
1631342,Daeqwon Plowden,2024-25,28.5,16.6,11.3,1.3,1.3,7.3,2.6,4.6,0.0,0.0,2.6,6.6,0.7,19.2,0.831,0.181,0.047,0.076,104.0,84.2,0.6807228915662651,0.0783132530120482,1,Role Players and Defensive Specialists
1630227,Daishen Nix,2024-25,3.2,3.2,3.2,6.5,9.7,12.9,0.0,12.9,0.0,0.0,12.9,3.2,3.2,29.0,0.266,0.176,0.231,0.211,103.2,79.3,1.0,2.03125,5,Secondary Playmakers and Scorers
1630625,Dalano Banton,2024-25,23.8,21.5,9.4,5.3,6.8,5.7,1.3,4.5,1.8,1.4,3.7,2.5,3.9,-2.3,0.497,0.237,0.213,0.056,110.2,111.8,0.4372093023255814,0.24651162790697673,0,Paint Players
1631207,Dalen Terry,2024-25,14.9,12.2,4.8,3.2,4.4,5.7,1.7,3.9,2.0,0.7,2.4,5.2,2.5,-7.9,0.546,0.142,0.136,0.057,104.0,111.6,0.39344262295081966,0.26229508196721313,1,Role Players and Defensive Specialists
1642261,Dalton Knecht,2024-25,23.0,18.2,11.1,2.7,2.2,7.1,1.2,5.8,0.8,0.3,1.2,3.0,1.9,-2.4,0.594,0.181,0.067,0.073,112.2,114.9,0.6098901098901099,0.14835164835164838,1,Role Players and Defensive Specialists
203081,Damian Lillard,2024-25,32.8,22.5,11.9,8.9,9.3,6.2,0.7,5.5,1.6,0.2,3.7,2.2,6.8,1.2,0.621,0.269,0.299,0.063,115.3,114.6,0.5288888888888889,0.39555555555555555,5,Secondary Playmakers and Scorers
1641878,Damion Baugh,2024-25,14.2,16.9,7.3,2.0,7.3,6.5,1.8,4.7,2.0,0.3,4.0,2.9,2.3,-22.0,0.399,0.186,0.235,0.064,99.5,121.8,0.43195266272189353,0.1183431952662722,0,Paint Players
1627814,Damion Lee,2024-25,26.1,23.3,11.6,6.6,3.5,6.3,0.9,5.3,1.9,0.0,3.1,1.9,3.8,7.9,0.499,0.269,0.121,0.064,104.7,98.7,0.49785407725321884,0.28326180257510725,0,Paint Players
1629655,Daniel Gafford,2024-25,27.0,15.5,0.0,7.5,3.1,14.9,6.0,9.0,0.9,3.9,2.5,5.9,6.0,1.3,0.716,0.186,0.097,0.149,114.9,113.4,0.0,0.4838709677419355,2,Spot Up Shooters
1628464,Daniel Theis,2024-25,12.2,9.7,2.8,2.8,4.5,12.3,3.3,9.0,1.4,1.5,1.9,5.3,3.4,-4.6,0.558,0.111,0.131,0.122,109.3,115.2,0.288659793814433,0.288659793814433,3,High Usage Stars
1642450,Daniss Jenkins,2024-25,16.3,23.3,16.3,4.7,7.0,4.7,0.0,4.7,0.0,0.0,2.3,4.7,4.7,-20.9,0.322,0.231,0.2,0.054,102.3,108.2,0.6995708154506438,0.2017167381974249,0,Paint Players
203957,Danté Exum,2024-25,22.1,17.0,6.7,3.9,7.1,4.2,0.5,3.7,1.5,0.4,2.8,4.3,3.9,-6.1,0.589,0.193,0.22,0.042,109.3,115.2,0.3941176470588235,0.22941176470588234,0,Paint Players
203967,Dario Šarić,2024-25,12.8,13.3,5.9,2.3,5.3,11.4,3.2,8.2,1.6,0.2,3.4,4.3,3.4,-11.2,0.449,0.157,0.17,0.107,97.3,108.7,0.44360902255639095,0.17293233082706766,0,Paint Players
1641727,Dariq Whitehead,2024-25,21.6,18.1,14.0,0.9,2.3,5.5,0.8,4.7,1.1,0.2,2.8,4.2,1.3,-12.1,0.58,0.189,0.078,0.056,98.7,109.7,0.7734806629834253,0.049723756906077346,1,Role Players and Defensive Specialists
1629636,Darius Garland,2024-25,31.7,24.1,10.9,5.2,10.4,4.4,1.0,3.4,1.9,0.2,3.9,2.9,4.7,10.3,0.6,0.265,0.309,0.045,123.2,113.4,0.45228215767634855,0.21576763485477177,5,Secondary Playmakers and Scorers
1630561,David Duke Jr.,2024-25,21.6,18.9,8.1,2.7,5.4,6.8,1.4,5.4,1.4,0.0,2.7,1.4,2.7,37.8,0.538,0.207,0.133,0.07,128.4,91.8,0.4285714285714286,0.14285714285714288,0,Paint Players
1631223,David Roddy,2024-25,17.2,14.0,6.9,2.9,3.9,9.4,1.5,8.0,1.6,1.0,2.5,2.2,2.2,-8.5,0.561,0.159,0.121,0.101,106.4,114.6,0.4928571428571429,0.20714285714285713,1,Role Players and Defensive Specialists
1630558,Davion Mitchell,2024-25,14.1,11.4,5.1,2.0,8.7,4.0,0.8,3.2,1.7,0.4,3.1,4.4,3.2,-0.1,0.573,0.135,0.237,0.041,111.0,110.7,0.4473684210526315,0.17543859649122806,0,Paint Players
1630549,Day'Ron Sharpe,2024-25,21.4,17.1,2.4,4.0,4.9,17.8,8.0,9.8,2.2,2.3,3.4,6.1,3.9,3.5,0.568,0.186,0.158,0.174,109.2,107.1,0.14035087719298245,0.23391812865497075,3,High Usage Stars
1628368,De'Aaron Fox,2024-25,30.6,24.4,8.0,6.7,8.2,6.3,1.1,5.1,1.9,0.5,3.6,3.4,5.5,-1.4,0.56,0.274,0.262,0.064,113.7,114.9,0.3278688524590164,0.27459016393442626,5,Secondary Playmakers and Scorers
1629631,De'Andre Hunter,2024-25,28.6,20.0,10.2,6.7,2.4,6.8,1.2,5.6,1.3,0.3,2.2,4.1,5.5,2.3,0.623,0.221,0.077,0.071,115.9,113.9,0.51,0.335,0,Paint Players
1629001,De'Anthony Melton,2024-25,23.4,20.4,13.2,3.0,6.4,7.5,2.3,5.3,2.6,0.8,3.8,6.8,2.6,10.2,0.539,0.223,0.205,0.075,108.3,97.4,0.6470588235294118,0.14705882352941177,0,Paint Players
201599,DeAndre Jordan,2024-25,14.5,9.7,0.0,4.4,3.7,19.7,5.8,13.9,1.1,1.9,2.8,5.1,4.7,-3.3,0.621,0.126,0.105,0.194,108.8,112.1,0.0,0.45360824742268047,3,High Usage Stars
201942,DeMar DeRozan,2024-25,29.8,22.8,4.5,7.7,6.0,5.2,0.9,4.3,1.1,0.6,1.8,2.6,5.5,1.9,0.569,0.244,0.182,0.054,116.8,115.3,0.19736842105263158,0.33771929824561403,5,Secondary Playmakers and Scorers
1629731,Dean Wade,2024-25,12.1,10.3,8.4,1.1,2.9,9.4,1.9,7.5,1.6,0.8,0.8,3.8,1.2,10.8,0.563,0.101,0.073,0.097,120.0,109.4,0.8155339805825242,0.10679611650485438,1,Role Players and Defensive Specialists
1629028,Deandre Ayton,2024-25,23.1,18.8,1.3,2.4,2.6,16.3,5.0,11.3,1.2,1.6,2.8,3.5,2.4,-6.5,0.583,0.197,0.083,0.168,110.0,116.8,0.06914893617021277,0.1276595744680851,3,High Usage Stars
